Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.700001,24.039062,101997.851562,-55.869698
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.700001,24.026367,101994.328125,-55.577614
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.700001,23.929688,101994.734375,-55.611626
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,       126,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.719999,23.930664,101993.460938,-55.505592
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,       162,        46,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.719999,23.906250,101999.234375,-55.983730
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        48,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.730000,23.894531,101997.968750,-55.878700
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        48,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.730000,23.894531,102001.250000,-56.150772
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        69,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.740000,23.895508,101999.984375,-56.045746
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        78,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.750000,23.847656,102001.601562,-56.179779
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,       102,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.760000,23.835938,101997.843750,-55.868698
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.780001,23.825195,102001.109375,-56.139771
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        81,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.790001,23.741211,101995.914062,-55.709652
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        60,        20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.799999,23.716797,101998.171875,-55.895706
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        96,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.809999,23.742188,102003.078125,-56.301807
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,       126,        34,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.820000,23.717773,101995.625000,-55.684647
     0/0/0,     0:0:0,  4.050000,    0,       0.000000,       0.000000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.830000,23.669922,102000.125000,-56.057747
     0/0/0,     0:0:0,  4.048750,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.840000,23.695312,102001.742188,-56.191780
