Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
    22/5/1,     7:0:8,  4.110000,    1,      47.653820,    -122.304771,       315,        90,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
    22/5/1,    7:0:28,  4.110000,    1,      47.653645,    -122.304756,       486,       139,        15,         0,         0,         0,         1,         1,         1,         1,         1,         1
    22/5/1,    7:0:48,  4.110000,    1,      47.653809,    -122.304718,       573,       170,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2
    22/5/1,     7:1:8,  4.110000,    1,      47.653728,    -122.304565,       483,       142,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3
    22/5/1,    7:1:28,  4.110000,    1,      47.653782,    -122.304573,       573,       184,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2
    22/5/1,    7:1:48,  4.110000,    1,      47.653717,    -122.304512,       327,        96,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0
    22/5/1,     7:2:8,  4.110000,    1,      47.653736,    -122.304604,       600,       188,        12,         3,         3,         3,         2,         3,         5,         2,         3,         5
    22/5/1,    7:2:28,  4.110000,    1,      47.653816,    -122.304718,       384,       119,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1
    22/5/1,    7:2:48,  4.110000,    1,      47.653816,    -122.304718,       531,       162,        15,         0,         0,         0,         2,         2,         2,         2,         2,         2
    22/5/1,     7:3:8,  4.110000,    1,      47.653954,    -122.304810,       516,       166,        27,         3,         0,         0,         1,         2,         4,         1,         2,         4
    22/5/1,    7:3:28,  4.110000,    1,      47.653912,    -122.304817,       561,       184,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3
    22/5/1,    7:3:48,  4.110000,    1,      47.653667,    -122.304756,       552,       168,         9,         0,         0,         0,         3,         3,         3,         3,         3,         3
